@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.Remove-R3-4_clustered

@attribute Instance_number numeric
@attribute Age numeric
@attribute Income numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12}

@data
683,45,12000,1,cluster10
684,22,40000,1,cluster8
685,44,20000,1,cluster10
686,42,120000,1,cluster9
687,22,36000,1,cluster8
688,31,60000,0,cluster3
689,41,85000,1,cluster12
690,24,30000,1,cluster8
691,42,12000,1,cluster10
692,27,9000,1,cluster7
693,34,38223,1,cluster1
694,25,42000,0,cluster8
695,22,60000,1,cluster11
696,26,20000,1,cluster7
697,23,52000,1,cluster11
698,31,35000,1,cluster1
699,26,105000,0,cluster5
700,22,25000,1,cluster8
701,19,7000,1,cluster7
702,38,52000,1,cluster2
703,25,28836,1,cluster8
704,29,80000,1,cluster3
705,32,50000,1,cluster1
706,26,60000,0,cluster11
707,30,76100,1,cluster3
708,23,8000,1,cluster7
709,22,32000,1,cluster8
710,28,70000,0,cluster3
711,40,80000,1,cluster12
712,28,22000,0,cluster8
713,29,34000,1,cluster8
714,31,48000,1,cluster1
715,26,29250,1,cluster8
716,33,30000,1,cluster1
717,44,10000,0,cluster10
718,27,22000,0,cluster8
719,28,23300,1,cluster8
720,24,10000,1,cluster7
721,37,12000,1,cluster10
722,23,12000,1,cluster7
723,28,24000,1,cluster8
724,22,10000,1,cluster7
725,28,18000,1,cluster6
726,33,41500,1,cluster1
727,25,30000,1,cluster8
728,30,135000,1,cluster5
729,41,40000,1,cluster2
730,37,45000,1,cluster2
731,34,30000,0,cluster1
732,29,45000,0,cluster1
733,41,80000,1,cluster12
734,25,48380,1,cluster11
735,31,25000,1,cluster1
736,31,45000,0,cluster1
737,41,90000,1,cluster12
738,48,120000,1,cluster9
739,21,10000,1,cluster7
740,38,100000,1,cluster12
741,22,18000,0,cluster7
742,42,34000,1,cluster10
743,22,31686,1,cluster8
744,24,20000,1,cluster7
745,41,40000,0,cluster2
746,25,48000,1,cluster11
747,32,50000,1,cluster1
748,41,15000,1,cluster10
749,27,8400,1,cluster7
750,30,20000,1,cluster6
751,34,46000,1,cluster1
752,23,50000,1,cluster11
753,23,75000,1,cluster3
754,31,55000,1,cluster1
755,39,80000,1,cluster12
756,28,50000,0,cluster11
757,27,8000,1,cluster7
758,34,16000,1,cluster6
759,26,17000,1,cluster7
760,29,41000,1,cluster1
761,26,15000,1,cluster7
762,19,45000,1,cluster11
763,50,50000,1,cluster4
764,41,170000,1,cluster9
765,25,18000,1,cluster7
766,35,50000,0,cluster1
767,36,40000,0,cluster1
768,22,45000,0,cluster8
769,28,45000,1,cluster1
770,27,45000,0,cluster8
771,52,63000,0,cluster4
772,40,50000,1,cluster2
773,40,32000,1,cluster10
774,32,10000,1,cluster6
775,26,45000,1,cluster8
776,34,40000,1,cluster1
777,26,8191,1,cluster7
778,38,20000,1,cluster10
779,34,52000,1,cluster1
780,23,22000,1,cluster8
781,46,70000,1,cluster12
782,26,37000,1,cluster8
783,23,65000,1,cluster11
784,28,60000,1,cluster11
785,26,40000,0,cluster8
786,34,45000,1,cluster1
787,55,78000,1,cluster4
788,27,60000,1,cluster11
789,20,8000,1,cluster7
790,26,10000,1,cluster7
791,27,90000,0,cluster3
792,26,24000,0,cluster8
793,30,112000,1,cluster5
794,30,50000,1,cluster1
795,22,70000,1,cluster11
796,30,16000,1,cluster6
797,30,50000,1,cluster1
798,24,15000,0,cluster7
799,34,25000,1,cluster10
800,33,30000,1,cluster1
801,47,76500,1,cluster12
802,35,36000,1,cluster1
803,33,75000,1,cluster3
804,32,30000,1,cluster1
805,25,25000,1,cluster8
806,31,40000,1,cluster1
807,26,36000,1,cluster8
808,26,24000,1,cluster8
809,32,12000,1,cluster6
810,25,69600,1,cluster11
811,27,8000,1,cluster7
812,27,36000,1,cluster8
813,26,29000,1,cluster8
814,30,24000,0,cluster6
815,33,36000,1,cluster1
816,28,61000,1,cluster11
817,28,145000,0,cluster5
818,42,33000,1,cluster10
819,34,16000,1,cluster6
820,25,8000,1,cluster7
821,54,35000,1,cluster4
822,43,46500,1,cluster2
823,34,30000,1,cluster1
824,26,45000,1,cluster8
825,29,48000,1,cluster1
826,30,43200,1,cluster1
827,19,13000,1,cluster7
828,30,23000,1,cluster6
829,31,46000,1,cluster1
830,22,28000,1,cluster8
831,26,43000,1,cluster8
832,61,20000,1,cluster4
833,29,25000,0,cluster8
834,33,15000,1,cluster6
835,28,31000,0,cluster8
836,15,24000,0,cluster8
837,28,6545,0,cluster7
838,30,95000,1,cluster3
839,60,100000,0,cluster9
840,23,47000,1,cluster11
841,30,23000,1,cluster6
842,36,150000,1,cluster5
843,44,47500,1,cluster2
844,24,50000,1,cluster11
845,27,55000,1,cluster11
846,45,42000,0,cluster2
847,33,60000,1,cluster3
848,27,10000,1,cluster7
849,39,91000,0,cluster12
850,39,6000,0,cluster10
851,44,40000,1,cluster2
852,25,6000,0,cluster7
853,29,37000,0,cluster1
854,29,12000,1,cluster6
855,24,15000,1,cluster7
856,21,6000,1,cluster7
857,22,20000,1,cluster7
858,21,45000,1,cluster8
859,34,185000,1,cluster5
860,28,54000,1,cluster11
861,35,55000,1,cluster1
862,25,12000,1,cluster7
863,28,10000,1,cluster7
864,40,50000,1,cluster2
865,37,50000,1,cluster2
866,22,24000,0,cluster8
867,25,24000,1,cluster8
868,32,43200,1,cluster1
869,45,89000,1,cluster12
870,28,20000,1,cluster6
871,33,7200,1,cluster6
872,29,36000,1,cluster1
873,22,6000,1,cluster7
874,52,45000,1,cluster4
875,27,30000,0,cluster8
876,28,30000,1,cluster8
877,42,90000,0,cluster12
878,23,6000,0,cluster7
879,51,17500,1,cluster4
880,30,70000,1,cluster3
881,20,24000,1,cluster8
882,35,25000,1,cluster10
883,56,30000,1,cluster4
884,25,44400,0,cluster8
885,19,12000,1,cluster7
886,39,41000,0,cluster2
887,45,26000,1,cluster10
888,28,50000,1,cluster11
889,34,11000,1,cluster6
890,29,10000,1,cluster6
891,31,18000,1,cluster6
892,32,30000,1,cluster1
893,23,16000,1,cluster7
894,33,50000,1,cluster1
895,21,6800,1,cluster7
896,57,35000,1,cluster4
897,30,60000,1,cluster3
898,25,19200,1,cluster7
899,30,120000,1,cluster5
900,28,58000,1,cluster11
901,25,36000,1,cluster8
902,30,70000,1,cluster3
903,35,75000,1,cluster3
904,45,25000,0,cluster10
905,38,30000,1,cluster10
906,31,10000,1,cluster6
907,47,35000,0,cluster4
908,37,79000,1,cluster12
909,24,15000,1,cluster7
910,45,110000,1,cluster9
911,28,35000,1,cluster8
912,38,30000,1,cluster10
913,22,30000,1,cluster8
914,33,65000,1,cluster3
915,28,50000,1,cluster11
916,33,30000,1,cluster1
917,29,32000,1,cluster8
