@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A5-N200-T1.0E-4_clustered

@attribute Instance_number numeric
@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
203,0.001167,0.007777,-0.014114,0.021095,0,cluster1
204,-0.013159,0.009743,0.004198,0.000704,1,cluster2
205,-0.001935,0.005211,-0.016492,0.020342,1,cluster1
206,0.008529,0.012469,-0.009824,0.021911,1,cluster1
207,-0.003048,0.003492,-0.018119,0.019516,1,cluster6
208,0.002697,0.01014,-0.011878,0.02223,1,cluster1
209,-0.008863,-0.021057,0.011686,0.000128,0,cluster0
210,-0.000783,-0.030838,0.001933,-0.009361,1,cluster0
211,0.001822,0.006169,0.000218,-0.006763,1,cluster2
212,-0.008258,0.008409,0.002736,-0.001854,1,cluster2
213,-0.004738,0.011619,0.005725,-0.000791,1,cluster2
214,-0.004297,-0.003282,-0.008726,-0.011302,1,cluster2
215,0.024529,-0.015833,-0.000321,0.01918,1,cluster4
216,-0.002009,0.011382,0.0054,-0.001863,1,cluster2
217,0.008459,-0.010293,-0.015958,-0.020419,1,cluster3
218,-0.001175,0.012671,0.00662,-0.001244,1,cluster2
219,0.005234,0.005154,-0.016795,0.017918,1,cluster1
220,-0.00832,-0.002819,-0.008137,-0.009642,1,cluster2
221,0.009101,-0.008893,0.022848,0.002616,1,cluster0
222,0.006797,-0.001336,-0.023136,0.012885,1,cluster6
223,-0.008082,0.000169,-0.021164,0.018878,1,cluster6
224,0.007366,-0.017856,-0.001687,0.02348,1,cluster4
225,0.002743,0.003139,-0.002749,-0.009176,1,cluster2
226,0.00117,0.002936,-0.002891,-0.008795,1,cluster2
227,0.005341,0.011998,-0.01017,0.022643,1,cluster1
228,-0.008344,0.012728,0.006923,0.001179,1,cluster2
229,-0.005363,-0.008578,0.00774,0.034165,0,cluster4
230,0.001143,-0.016338,-0.000001,0.026604,1,cluster4
231,0.007698,0.011186,-0.011037,0.021295,0,cluster1
232,0.00029,0.012706,0.006604,-0.001706,1,cluster2
233,0.009784,-0.00967,0.006159,0.028369,1,cluster4
234,-0.001737,-0.018954,0.013476,-0.000779,1,cluster0
235,-0.008558,-0.000566,-0.02186,0.018525,0,cluster6
236,-0.00233,0.013112,0.007087,-0.000553,1,cluster2
237,-0.002522,0.008363,0.002494,-0.003792,0,cluster2
238,0.005995,0.012614,0.006317,-0.003668,1,cluster2
239,-0.000074,0.012537,-0.00946,0.024819,1,cluster1
240,-0.006632,0.013146,0.007269,0.000901,1,cluster2
241,0.006499,-0.010292,0.00567,0.029029,1,cluster4
242,-0.002843,-0.009138,0.007111,0.032938,0,cluster4
243,0.002625,-0.007781,-0.029234,0.009789,0,cluster6
244,0.036,-0.015925,-0.000805,0.015303,1,cluster4
245,0.012433,-0.016709,-0.00075,0.022593,1,cluster4
246,0.004016,-0.005632,-0.027202,0.010821,1,cluster6
247,-0.005984,0.001184,-0.020253,0.018887,1,cluster6
248,-0.010718,0.002383,-0.003016,-0.005227,1,cluster2
249,-0.000458,0.00304,-0.018646,0.018341,1,cluster6
250,0.00274,0.007981,-0.013971,0.020713,1,cluster1
251,0.000806,-0.012406,0.003819,0.029451,1,cluster4
252,0.000846,0.009507,-0.012427,0.022405,1,cluster1
253,-0.022774,-0.018466,-0.022795,-0.015719,1,cluster3
254,-0.009221,0.013598,0.007796,0.002076,1,cluster2
255,0.005565,0.010117,-0.011999,0.021261,1,cluster1
256,0.002793,0.012514,-0.009581,0.023849,1,cluster1
257,0.027984,0.000223,-0.022358,0.006925,1,cluster5
258,0.009301,0.00253,-0.019477,0.014742,1,cluster6
259,0.03786,0.010633,0.003297,-0.01564,1,cluster2
260,0.007493,-0.000262,-0.02212,0.0134,1,cluster6
261,-0.004042,0.012693,0.006741,-0.000275,1,cluster2
262,0.000392,-0.017892,0.014432,-0.000748,1,cluster0
263,0.004926,-0.010495,0.005528,0.029411,1,cluster4
264,0.010148,-0.01356,0.002379,0.025543,1,cluster4
265,0.00393,-0.001313,-0.023015,0.013854,0,cluster6
266,-0.002609,0.012682,0.00668,-0.00076,1,cluster2
267,0.00835,-0.009659,0.00622,0.028854,1,cluster4
268,-0.020731,-0.013084,-0.017652,-0.012656,1,cluster3
269,-0.007519,0.007323,0.001659,-0.002854,0,cluster2
270,-0.009778,0.012739,0.006983,0.001664,0,cluster2
271,0.014975,-0.008723,0.022809,0.000781,1,cluster0
272,-0.016398,0.002514,-0.002693,-0.003247,1,cluster2
273,-0.018165,0.00201,-0.00312,-0.00301,1,cluster2
274,0.02503,0.004564,-0.01805,0.010927,1,cluster5
275,-0.001036,0.012885,0.006823,-0.001141,1,cluster2
276,-0.012615,0.008751,-0.012695,0.026354,1,cluster1
277,0.009171,0.009009,-0.013197,0.019291,1,cluster1
278,0.034043,-0.025625,-0.010135,0.009206,1,cluster4
279,0.002366,0.005177,-0.016674,0.018888,1,cluster1
280,0.004283,0.012195,0.005971,-0.003389,1,cluster2
281,-0.00746,-0.01627,0.000362,0.029512,1,cluster4
282,-0.003369,0.005222,-0.016432,0.020826,1,cluster1
283,0.025317,0.011687,-0.011161,0.015785,1,cluster5
284,0.001446,0.008207,-0.013707,0.021301,1,cluster1
285,0.011247,0.005538,-0.016631,0.016186,1,cluster1
286,0.011038,-0.012579,0.019211,-0.000592,1,cluster0
287,0.005568,-0.013955,0.002154,0.026791,1,cluster4
288,0.002614,0.009618,0.003531,-0.004627,1,cluster2
289,0.004542,-0.019993,-0.003659,0.022933,1,cluster4
290,0.010456,0.002089,-0.019944,0.014051,1,cluster6
291,-0.015297,0.001987,-0.003241,-0.00398,1,cluster2
292,-0.006236,0.002627,-0.002935,-0.006547,1,cluster2
293,-0.003214,-0.016784,0.01563,0.001222,1,cluster0
294,-0.010452,0.00096,-0.020316,0.020217,0,cluster6
295,-0.005989,0.009686,0.003895,-0.001719,1,cluster2
296,0.007737,0.00902,-0.013137,0.019775,1,cluster1
297,0.003714,0.009484,-0.012548,0.021436,1,cluster1
298,0.014446,0.010478,-0.011956,0.018559,1,cluster1
299,-0.00543,-0.013527,0.018861,0.004223,1,cluster0
300,-0.01206,-0.050089,-0.032239,0.007519,1,cluster3
301,-0.010452,0.00096,-0.020316,0.020217,1,cluster6
302,-0.016122,0.007392,0.002023,0.000054,1,cluster2
303,-0.00235,-0.000275,-0.00588,-0.009858,1,cluster2
304,-0.004651,0.0073,0.001538,-0.003824,0,cluster2
305,0.011584,-0.018413,0.013541,-0.004831,1,cluster0
306,0.004038,-0.016318,-0.000082,0.025656,1,cluster4
307,0.002323,0.007336,-0.014581,0.020404,1,cluster1
308,-0.000631,0.011678,-0.010273,0.024406,1,cluster1
309,0.01121,-0.021217,0.010838,-0.006657,1,cluster0
310,-0.002887,0.012252,0.006274,-0.000966,1,cluster2
311,-0.008297,-0.013504,0.018982,0.005193,1,cluster0
312,0.000976,0.003028,-0.018707,0.017856,1,cluster6
313,0.006551,0.013473,0.00713,-0.003255,1,cluster2
314,0.022241,-0.011267,-0.017377,-0.025679,1,cluster3
315,0.005105,0.011632,-0.010515,0.022467,1,cluster1
316,0.007793,-0.010518,0.005406,0.028441,1,cluster4
317,0.011217,-0.009682,0.006098,0.027885,1,cluster4
318,0.017969,-0.010383,0.005186,0.025152,1,cluster4
319,0.003547,-0.010398,0.00567,0.029937,0,cluster4
320,0.024656,0.00176,-0.020754,0.009101,0,cluster5
321,-0.006975,0.006331,-0.015234,0.022796,1,cluster1
322,-0.010996,0.001953,-0.003423,-0.005434,0,cluster2
323,-0.010323,-0.005518,-0.026596,0.015668,0,cluster6
324,-0.012473,0.004124,-0.001269,-0.003433,1,cluster2
325,-0.007281,-0.01416,0.018312,0.004398,1,cluster0
326,-0.012085,-0.015312,-0.020109,-0.01708,1,cluster3
327,-0.00739,0.000845,-0.004621,-0.007403,1,cluster2
328,-0.003953,-0.015698,0.016707,0.002222,0,cluster0
329,-0.003935,-0.00233,-0.023728,0.015761,0,cluster6
330,0.017076,0.012314,-0.010268,0.018962,1,cluster1
331,-0.019599,0.002021,-0.003059,-0.002526,0,cluster2
332,0.018748,0.010444,-0.012138,0.017105,1,cluster1
333,0.029003,-0.024506,-0.008876,0.011661,1,cluster4
334,0.002326,-0.016736,-0.000428,0.025934,0,cluster4
335,-0.013629,0.004565,-0.000802,-0.002742,1,cluster2
336,0.000259,0.012659,0.006559,-0.001729,1,cluster2
337,0.006013,-0.013268,0.002805,0.027121,0,cluster4
338,-0.010761,0.004542,-0.000923,-0.003711,1,cluster2
339,0.047137,0.003093,-0.02024,0.002554,0,cluster5
340,0.009794,-0.007838,-0.029537,0.007366,1,cluster6
341,0.018877,0.003966,-0.018418,0.012556,0,cluster5
342,-0.003654,-0.006742,-0.012099,-0.013922,1,cluster3
343,0.00686,0.009891,-0.012263,0.020673,1,cluster1
344,0.028049,-0.012623,0.002668,0.020243,1,cluster4
345,-0.001892,0.003051,-0.018586,0.018825,1,cluster6
346,-0.001911,-0.010335,-0.031553,0.009521,0,cluster6
347,0.005933,-0.017845,-0.001626,0.023964,1,cluster4
348,0.017616,-0.004661,-0.026731,0.006975,0,cluster5
349,0.008754,0.008365,-0.013807,0.018981,0,cluster1
350,-0.010953,-0.000207,-0.005516,-0.00695,1,cluster2
351,-0.001141,-0.015413,0.000974,0.028007,1,cluster4
352,-0.007188,0.012287,0.006456,0.000488,1,cluster2
353,0.009496,-0.016793,-0.000731,0.023511,1,cluster4
354,0.002197,-0.010258,0.005852,0.030483,1,cluster4
355,-0.0123,-0.004514,-0.009642,-0.009498,1,cluster2
356,0.006989,0.003412,-0.018543,0.016124,1,cluster6
357,0.012274,0.011575,-0.010818,0.020044,1,cluster1
358,0.004174,0.007969,-0.014032,0.020229,0,cluster1
359,-0.015532,-0.019833,-0.00281,0.029718,1,cluster4
360,0.024023,0.011914,-0.010897,0.016373,0,cluster5
361,0.0022,-0.015099,0.017075,0.000593,1,cluster0
362,0.011387,0.005753,-0.016428,0.016289,1,cluster1
363,0.006403,-0.012666,0.003374,0.02741,0,cluster4
364,0.016618,0.009382,-0.013094,0.017074,1,cluster1
365,0.000893,-0.016725,-0.000367,0.026419,1,cluster4
366,0.000111,-0.01348,0.002803,0.028936,1,cluster4
367,-0.001978,0.00737,-0.014399,0.021858,1,cluster1
368,-0.022208,-0.010913,-0.015498,-0.010655,1,cluster3
369,0.001211,0.005618,-0.016207,0.019579,0,cluster1
370,0.000111,-0.01348,0.002803,0.028936,1,cluster4
371,-0.014036,0.010614,0.005072,0.001601,1,cluster2
372,-0.001651,-0.023273,0.00929,-0.003812,1,cluster0
373,-0.014283,0.006173,-0.015134,0.025116,1,cluster1
374,-0.007423,0.009698,0.003956,-0.001235,1,cluster2
375,0.014863,0.011123,-0.011346,0.018869,1,cluster1
376,0.01647,0.002473,-0.01978,0.012318,1,cluster5
377,-0.00521,0.011283,-0.010498,0.025654,1,cluster1
378,-0.006237,0.005245,-0.016311,0.021795,1,cluster1
379,0.010284,0.010727,-0.011571,0.020116,1,cluster1
380,-0.017516,0.010085,-0.011233,0.028912,1,cluster1
381,-0.013552,-0.006448,-0.011472,-0.010427,1,cluster2
382,0.020463,-0.01321,0.002361,0.022357,1,cluster4
383,0.020142,-0.01148,0.004048,0.023667,1,cluster4
384,-0.006088,0.01176,0.005907,-0.000244,1,cluster2
385,0.023887,-0.012374,0.003053,0.0218,1,cluster4
386,0.001822,0.006169,0.000218,-0.006763,1,cluster2
387,0.016331,0.002259,-0.019983,0.012215,1,cluster5
388,0.001761,-0.024289,-0.007724,0.020869,1,cluster4
389,0.035712,-0.003817,-0.010626,-0.024976,1,cluster2
390,-0.002631,0.004137,-0.017509,0.019826,1,cluster1
391,0.012221,0.007041,-0.015208,0.016908,1,cluster1
392,0.011578,0.010501,-0.011835,0.019528,1,cluster1
393,-0.005294,0.01076,0.004911,-0.001204,1,cluster2
394,0.018046,-0.021396,-0.005485,0.017467,0,cluster4
395,-0.006716,-0.006627,-0.027794,0.013698,0,cluster6
396,-0.000199,-0.009917,-0.031207,0.009242,1,cluster6
397,0.016052,0.001829,-0.02039,0.012009,1,cluster5
398,-0.006681,-0.01546,0.017032,0.003295,0,cluster0
399,0.00572,-0.011888,0.020063,0.001656,1,cluster0
400,0.004796,0.000025,-0.021748,0.014497,1,cluster6
401,-0.003326,0.003063,-0.018525,0.01931,1,cluster6
402,0.009313,-0.014849,0.001159,0.024924,0,cluster4
403,-0.01423,0.005862,0.000476,-0.001639,0,cluster2
404,0.005259,-0.010373,0.021547,0.002863,1,cluster0
405,-0.003177,0.009971,-0.011839,0.024065,1,cluster1
406,-0.013962,0.004049,-0.00129,-0.002989,1,cluster2
407,-0.002021,0.00953,-0.012306,0.023374,1,cluster1
408,0.019026,0.010874,-0.011731,0.017311,1,cluster1
409,0.010883,0.009427,-0.012851,0.019012,1,cluster1
410,-0.003326,0.003063,-0.018525,0.01931,1,cluster6
411,-0.011734,0.003038,-0.002346,-0.004433,1,cluster2
412,0.009903,-0.022842,-0.006604,0.019168,1,cluster4
413,-0.003498,0.011701,-0.010152,0.025375,1,cluster1
414,0.011662,0.01063,-0.011713,0.01959,1,cluster1
415,0.002764,-0.007566,-0.029031,0.009893,1,cluster6
416,-0.005445,0.008693,-0.012998,0.023931,1,cluster1
417,-0.004846,0.007393,-0.014278,0.022827,0,cluster1
418,-0.008171,0.00409,-0.001451,-0.004887,1,cluster2
419,0.00639,0.004713,-0.017263,0.017227,0,cluster1
420,0.000237,0.004114,-0.01763,0.018856,1,cluster6
421,0.000055,0.006059,-0.01574,0.02027,1,cluster1
422,-0.009757,0.002034,-0.019299,0.020733,1,cluster6
423,0.003896,0.00754,-0.014438,0.020022,1,cluster1
424,0.003022,-0.015662,0.000588,0.02645,0,cluster4
425,0.002101,-0.012632,0.003556,0.028864,0,cluster4
