@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.RandomProjection-N2-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1}

@data
366,1.732051,1.732051,1,cluster1
367,0,0,1,cluster0
368,1.732051,0,1,cluster0
369,0,0,0,cluster0
370,1.732051,1.732051,1,cluster1
371,1.732051,0,1,cluster0
372,3.464102,1.732051,1,cluster1
373,0,0,1,cluster0
374,1.732051,0,1,cluster0
375,0,0,1,cluster0
376,0,0,1,cluster0
377,0,0,1,cluster0
378,0,0,1,cluster0
379,0,0,1,cluster0
380,0,0,1,cluster0
381,1.732051,0,1,cluster0
382,1.732051,1.732051,1,cluster1
383,1.732051,1.732051,1,cluster1
384,1.732051,0,1,cluster0
385,1.732051,1.732051,1,cluster1
386,1.732051,0,1,cluster0
387,0,0,1,cluster0
388,1.732051,1.732051,1,cluster1
389,1.732051,0,1,cluster0
390,0,0,1,cluster0
391,0,0,1,cluster0
392,0,0,1,cluster0
393,1.732051,0,1,cluster0
394,1.732051,1.732051,0,cluster1
395,0,0,0,cluster0
396,0,0,1,cluster0
397,0,0,1,cluster0
398,3.464102,1.732051,0,cluster1
399,3.464102,1.732051,1,cluster1
400,0,0,1,cluster0
401,0,0,1,cluster0
402,1.732051,1.732051,0,cluster1
403,1.732051,0,0,cluster0
404,3.464102,1.732051,1,cluster1
405,0,0,1,cluster0
406,1.732051,0,1,cluster0
407,0,0,1,cluster0
408,0,0,1,cluster0
409,0,0,1,cluster0
410,0,0,1,cluster0
411,1.732051,0,1,cluster0
412,1.732051,1.732051,1,cluster1
413,0,0,1,cluster0
414,0,0,1,cluster0
415,0,0,1,cluster0
416,0,0,1,cluster0
417,0,0,0,cluster0
418,1.732051,0,1,cluster0
419,0,0,0,cluster0
420,0,0,1,cluster0
421,0,0,1,cluster0
422,0,0,1,cluster0
423,0,0,1,cluster0
424,1.732051,1.732051,0,cluster1
425,1.732051,1.732051,0,cluster1
426,1.732051,0,0,cluster0
427,1.732051,1.732051,1,cluster1
428,1.732051,1.732051,0,cluster1
429,1.732051,0,1,cluster0
430,0,0,1,cluster0
431,1.732051,1.732051,1,cluster1
432,1.732051,0,1,cluster0
433,1.732051,0,1,cluster0
434,1.732051,1.732051,1,cluster1
435,0,0,0,cluster0
436,0,0,1,cluster0
437,0,0,1,cluster0
438,1.732051,1.732051,1,cluster1
439,0,0,0,cluster0
440,1.732051,0,1,cluster0
441,1.732051,0,1,cluster0
442,1.732051,0,1,cluster0
443,1.732051,1.732051,1,cluster1
444,1.732051,0,1,cluster0
445,3.464102,1.732051,1,cluster1
446,1.732051,0,1,cluster0
447,0,0,1,cluster0
448,0,0,1,cluster0
449,1.732051,0,1,cluster0
