@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.RandomProjection-N2-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
465,1.732051,1.732051,1,cluster2
466,0,0,1,cluster3
467,0,0,1,cluster3
468,0,0,0,cluster3
469,1.732051,0,0,cluster1
470,1.732051,1.732051,0,cluster2
471,3.464102,1.732051,1,cluster0
472,3.464102,1.732051,1,cluster0
473,0,0,1,cluster3
474,0,0,1,cluster3
475,3.464102,1.732051,0,cluster0
476,1.732051,0,1,cluster1
477,1.732051,0,1,cluster1
478,1.732051,1.732051,1,cluster2
479,0,0,1,cluster3
480,0,0,0,cluster3
481,0,0,1,cluster3
482,0,0,1,cluster3
483,1.732051,1.732051,0,cluster2
484,1.732051,1.732051,1,cluster2
485,0,0,1,cluster3
486,0,0,1,cluster3
487,1.732051,1.732051,0,cluster2
488,1.732051,1.732051,0,cluster2
489,1.732051,0,1,cluster1
490,1.732051,0,1,cluster1
491,1.732051,0,1,cluster1
492,1.732051,0,1,cluster1
493,0,0,1,cluster3
494,0,0,1,cluster3
495,1.732051,0,1,cluster1
496,1.732051,0,1,cluster1
497,0,0,1,cluster3
498,1.732051,0,1,cluster1
499,1.732051,1.732051,1,cluster2
500,0,0,1,cluster3
501,0,0,1,cluster3
502,0,0,1,cluster3
503,1.732051,0,1,cluster1
504,3.464102,1.732051,1,cluster0
505,0,0,1,cluster3
506,0,0,1,cluster3
507,0,0,1,cluster3
508,3.464102,1.732051,0,cluster0
509,0,0,1,cluster3
510,0,0,0,cluster3
511,0,0,1,cluster3
512,1.732051,0,1,cluster1
513,1.732051,0,1,cluster1
514,0,0,0,cluster3
515,0,0,1,cluster3
516,1.732051,0,1,cluster1
517,0,0,0,cluster3
518,1.732051,1.732051,0,cluster2
519,0,0,0,cluster3
520,0,0,1,cluster3
521,3.464102,1.732051,0,cluster0
522,0,0,1,cluster3
523,1.732051,0,0,cluster1
524,1.732051,0,1,cluster1
525,3.464102,1.732051,1,cluster0
526,0,0,1,cluster3
527,1.732051,1.732051,1,cluster2
528,3.464102,1.732051,1,cluster0
529,1.732051,1.732051,1,cluster2
530,1.732051,1.732051,1,cluster2
531,3.464102,1.732051,0,cluster0
532,1.732051,0,1,cluster1
533,1.732051,1.732051,1,cluster2
534,0,0,0,cluster3
535,1.732051,1.732051,1,cluster2
536,1.732051,1.732051,1,cluster2
537,1.732051,0,1,cluster1
538,0,0,1,cluster3
539,1.732051,0,1,cluster1
540,0,0,1,cluster3
541,1.732051,0,1,cluster1
542,1.732051,0,1,cluster1
543,0,0,1,cluster3
544,0,0,1,cluster3
545,0,0,1,cluster3
546,1.732051,0,1,cluster1
547,0,0,0,cluster3
548,0,0,0,cluster3
549,1.732051,1.732051,0,cluster2
550,1.732051,0,1,cluster1
551,1.732051,0,1,cluster1
552,1.732051,0,1,cluster1
553,0,0,0,cluster3
554,1.732051,1.732051,1,cluster2
555,0,0,1,cluster3
556,1.732051,0,1,cluster1
557,0,0,1,cluster3
558,0,0,1,cluster3
559,0,0,1,cluster3
560,0,0,1,cluster3
561,1.732051,0,1,cluster1
562,0,0,1,cluster3
563,1.732051,0,1,cluster1
564,0,0,1,cluster3
565,1.732051,0,1,cluster1
566,1.732051,1.732051,1,cluster2
567,0,0,0,cluster3
568,1.732051,0,0,cluster1
569,1.732051,1.732051,0,cluster2
570,0,0,1,cluster3
571,0,0,1,cluster3
572,0,0,1,cluster3
573,0,0,1,cluster3
574,0,0,0,cluster3
575,1.732051,0,1,cluster1
576,1.732051,1.732051,1,cluster2
577,1.732051,0,1,cluster1
578,1.732051,0,1,cluster1
579,0,0,1,cluster3
580,1.732051,0,1,cluster1
581,0,0,0,cluster3
582,1.732051,1.732051,1,cluster2
583,1.732051,0,1,cluster1
584,0,0,0,cluster3
585,0,0,1,cluster3
586,1.732051,0,1,cluster1
587,3.464102,1.732051,1,cluster0
588,1.732051,0,1,cluster1
589,1.732051,0,1,cluster1
590,0,0,0,cluster3
591,1.732051,0,1,cluster1
592,0,0,1,cluster3
593,1.732051,0,1,cluster1
594,1.732051,0,0,cluster1
595,0,0,1,cluster3
596,0,0,1,cluster3
597,1.732051,1.732051,1,cluster2
598,0,0,1,cluster3
599,1.732051,1.732051,0,cluster2
600,1.732051,0,1,cluster1
601,1.732051,0,1,cluster1
602,0,0,1,cluster3
603,0,0,1,cluster3
604,1.732051,1.732051,1,cluster2
605,0,0,1,cluster3
606,0,0,1,cluster3
607,1.732051,1.732051,1,cluster2
608,1.732051,0,0,cluster1
609,1.732051,1.732051,1,cluster2
610,1.732051,0,1,cluster1
611,1.732051,0,1,cluster1
612,1.732051,0,1,cluster1
613,0,0,0,cluster3
614,1.732051,0,1,cluster1
615,1.732051,1.732051,1,cluster2
616,1.732051,0,1,cluster1
617,1.732051,1.732051,1,cluster2
618,1.732051,0,1,cluster1
619,1.732051,0,1,cluster1
620,1.732051,0,1,cluster1
621,0,0,0,cluster3
622,1.732051,0,1,cluster1
623,0,0,1,cluster3
624,0,0,1,cluster3
625,1.732051,0,1,cluster1
626,1.732051,1.732051,0,cluster2
627,0,0,1,cluster3
628,1.732051,0,1,cluster1
629,0,0,1,cluster3
630,0,0,1,cluster3
631,1.732051,0,1,cluster1
632,0,0,1,cluster3
633,1.732051,1.732051,1,cluster2
634,0,0,0,cluster3
635,1.732051,0,1,cluster1
636,0,0,0,cluster3
637,0,0,1,cluster3
638,0,0,1,cluster3
639,1.732051,0,1,cluster1
640,1.732051,0,1,cluster1
641,0,0,1,cluster3
642,0,0,1,cluster3
643,0,0,1,cluster3
644,0,0,1,cluster3
645,0,0,1,cluster3
646,0,0,1,cluster3
647,0,0,1,cluster3
648,0,0,0,cluster3
649,0,0,1,cluster3
650,1.732051,1.732051,1,cluster2
651,0,0,1,cluster3
652,1.732051,0,0,cluster1
653,3.464102,1.732051,0,cluster0
654,1.732051,0,1,cluster1
655,3.464102,1.732051,0,cluster0
656,0,0,1,cluster3
657,1.732051,1.732051,1,cluster2
658,0,0,1,cluster3
659,0,0,1,cluster3
660,1.732051,1.732051,1,cluster2
661,0,0,1,cluster3
662,1.732051,1.732051,1,cluster2
663,1.732051,0,1,cluster1
664,1.732051,1.732051,1,cluster2
665,1.732051,1.732051,1,cluster2
666,0,0,0,cluster3
667,1.732051,0,1,cluster1
668,0,0,0,cluster3
669,1.732051,0,1,cluster1
670,1.732051,1.732051,1,cluster2
671,3.464102,1.732051,1,cluster0
672,0,0,1,cluster3
673,0,0,1,cluster3
674,0,0,1,cluster3
675,1.732051,0,1,cluster1
676,1.732051,1.732051,1,cluster2
677,0,0,1,cluster3
678,0,0,1,cluster3
679,1.732051,0,1,cluster1
680,1.732051,1.732051,0,cluster2
681,1.732051,1.732051,1,cluster2
682,1.732051,0,1,cluster1
683,0,0,1,cluster3
684,1.732051,0,1,cluster1
685,1.732051,1.732051,1,cluster2
686,1.732051,1.732051,1,cluster2
687,0,0,1,cluster3
688,1.732051,1.732051,0,cluster2
689,0,0,1,cluster3
690,0,0,1,cluster3
691,1.732051,0,1,cluster1
692,0,0,1,cluster3
693,1.732051,0,1,cluster1
694,1.732051,0,0,cluster1
695,1.732051,1.732051,1,cluster2
696,0,0,1,cluster3
697,1.732051,0,1,cluster1
698,1.732051,0,1,cluster1
699,1.732051,0,0,cluster1
700,1.732051,0,1,cluster1
701,0,0,1,cluster3
702,0,0,1,cluster3
703,0,0,1,cluster3
704,1.732051,0,1,cluster1
705,1.732051,0,1,cluster1
706,3.464102,1.732051,0,cluster0
707,3.464102,1.732051,1,cluster0
708,1.732051,0,1,cluster1
709,1.732051,0,1,cluster1
710,1.732051,1.732051,0,cluster2
711,1.732051,0,1,cluster1
712,1.732051,0,0,cluster1
713,1.732051,0,1,cluster1
714,0,0,1,cluster3
715,0,0,1,cluster3
716,0,0,1,cluster3
717,0,0,0,cluster3
718,1.732051,1.732051,0,cluster2
719,0,0,1,cluster3
720,1.732051,0,1,cluster1
721,0,0,1,cluster3
722,1.732051,0,1,cluster1
723,0,0,1,cluster3
724,1.732051,0,1,cluster1
725,0,0,1,cluster3
726,0,0,1,cluster3
727,0,0,1,cluster3
728,1.732051,1.732051,1,cluster2
729,0,0,1,cluster3
730,0,0,1,cluster3
731,1.732051,1.732051,0,cluster2
732,0,0,0,cluster3
733,1.732051,1.732051,1,cluster2
734,0,0,1,cluster3
735,1.732051,1.732051,1,cluster2
736,0,0,0,cluster3
737,1.732051,0,1,cluster1
738,1.732051,0,1,cluster1
739,0,0,1,cluster3
740,1.732051,0,1,cluster1
741,1.732051,1.732051,0,cluster2
742,1.732051,1.732051,1,cluster2
743,0,0,1,cluster3
744,0,0,1,cluster3
745,0,0,0,cluster3
746,0,0,1,cluster3
747,1.732051,1.732051,1,cluster2
748,0,0,1,cluster3
749,0,0,1,cluster3
750,0,0,1,cluster3
751,1.732051,0,1,cluster1
752,0,0,1,cluster3
753,1.732051,1.732051,1,cluster2
754,0,0,1,cluster3
755,0,0,1,cluster3
756,1.732051,0,0,cluster1
757,0,0,1,cluster3
758,0,0,1,cluster3
759,1.732051,0,1,cluster1
760,0,0,1,cluster3
761,3.464102,1.732051,1,cluster0
762,1.732051,0,1,cluster1
763,1.732051,0,1,cluster1
764,1.732051,0,1,cluster1
765,1.732051,0,1,cluster1
766,1.732051,0,0,cluster1
767,0,0,0,cluster3
768,0,0,0,cluster3
769,0,0,1,cluster3
770,0,0,0,cluster3
771,0,0,0,cluster3
772,3.464102,1.732051,1,cluster0
773,0,0,1,cluster3
774,1.732051,0,1,cluster1
775,3.464102,1.732051,1,cluster0
776,1.732051,0,1,cluster1
777,1.732051,0,1,cluster1
778,1.732051,0,1,cluster1
779,0,0,1,cluster3
780,1.732051,0,1,cluster1
781,1.732051,1.732051,1,cluster2
782,3.464102,1.732051,1,cluster0
783,0,0,1,cluster3
784,0,0,1,cluster3
785,1.732051,1.732051,0,cluster2
786,1.732051,1.732051,1,cluster2
787,1.732051,1.732051,1,cluster2
788,0,0,1,cluster3
789,1.732051,1.732051,1,cluster2
790,1.732051,0,1,cluster1
791,1.732051,1.732051,0,cluster2
792,1.732051,1.732051,0,cluster2
793,1.732051,0,1,cluster1
794,0,0,1,cluster3
795,1.732051,0,1,cluster1
796,0,0,1,cluster3
797,1.732051,0,1,cluster1
798,0,0,0,cluster3
799,1.732051,0,1,cluster1
800,1.732051,0,1,cluster1
801,0,0,1,cluster3
802,0,0,1,cluster3
803,1.732051,1.732051,1,cluster2
804,0,0,1,cluster3
805,1.732051,1.732051,1,cluster2
806,1.732051,1.732051,1,cluster2
807,0,0,1,cluster3
808,0,0,1,cluster3
809,1.732051,0,1,cluster1
810,1.732051,0,1,cluster1
811,0,0,1,cluster3
812,0,0,1,cluster3
813,1.732051,1.732051,1,cluster2
814,0,0,0,cluster3
815,0,0,1,cluster3
816,0,0,1,cluster3
817,1.732051,0,0,cluster1
818,0,0,1,cluster3
819,0,0,1,cluster3
820,0,0,1,cluster3
821,0,0,1,cluster3
822,0,0,1,cluster3
823,1.732051,1.732051,1,cluster2
824,0,0,1,cluster3
825,0,0,1,cluster3
826,0,0,1,cluster3
827,0,0,1,cluster3
828,0,0,1,cluster3
829,0,0,1,cluster3
830,1.732051,0,1,cluster1
831,0,0,1,cluster3
832,0,0,1,cluster3
833,0,0,0,cluster3
834,0,0,1,cluster3
835,1.732051,0,0,cluster1
836,1.732051,1.732051,0,cluster2
837,0,0,0,cluster3
838,1.732051,1.732051,1,cluster2
839,0,0,0,cluster3
840,1.732051,0,1,cluster1
841,0,0,1,cluster3
842,0,0,1,cluster3
843,1.732051,0,1,cluster1
844,1.732051,0,1,cluster1
845,1.732051,1.732051,1,cluster2
846,0,0,0,cluster3
847,1.732051,0,1,cluster1
848,0,0,1,cluster3
849,1.732051,1.732051,0,cluster2
850,1.732051,1.732051,0,cluster2
851,0,0,1,cluster3
852,0,0,0,cluster3
853,1.732051,1.732051,0,cluster2
854,1.732051,0,1,cluster1
855,1.732051,1.732051,1,cluster2
856,0,0,1,cluster3
857,3.464102,1.732051,1,cluster0
858,3.464102,1.732051,1,cluster0
859,0,0,1,cluster3
860,0,0,1,cluster3
861,0,0,1,cluster3
862,1.732051,0,1,cluster1
863,0,0,1,cluster3
864,0,0,1,cluster3
865,1.732051,1.732051,1,cluster2
866,0,0,0,cluster3
867,1.732051,0,1,cluster1
868,0,0,1,cluster3
869,1.732051,0,1,cluster1
870,1.732051,0,1,cluster1
871,0,0,1,cluster3
