@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.Remove-R3-4_clustered

@attribute Instance_number numeric
@attribute Age numeric
@attribute Income numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
614,39,200000,1,cluster6
615,50,40000,1,cluster5
616,33,35000,1,cluster4
617,28,34000,1,cluster0
618,31,42000,1,cluster0
619,31,60000,1,cluster2
620,26,50000,1,cluster0
621,23,35000,0,cluster0
622,46,100000,1,cluster3
623,31,58000,1,cluster2
624,25,18000,1,cluster1
625,40,27000,1,cluster4
626,25,15000,0,cluster1
627,37,68000,1,cluster2
628,37,130000,1,cluster3
629,24,30000,1,cluster1
630,34,40000,1,cluster4
631,25,6000,1,cluster1
632,34,46000,1,cluster4
633,23,40000,1,cluster0
634,36,46000,0,cluster4
635,33,50000,1,cluster2
636,28,28000,0,cluster1
637,35,87000,1,cluster3
638,55,150000,1,cluster6
639,25,60000,1,cluster0
640,35,10325,1,cluster4
641,24,6500,1,cluster1
642,34,30000,1,cluster4
643,33,60000,1,cluster2
644,43,70000,1,cluster5
645,35,20000,1,cluster4
646,23,20000,1,cluster1
647,22,200000,1,cluster6
648,25,45000,0,cluster0
649,20,11000,1,cluster1
650,43,23000,1,cluster4
651,42,20000,1,cluster4
652,39,95000,0,cluster3
653,23,23000,0,cluster1
654,39,45000,1,cluster4
655,25,42000,0,cluster0
656,29,45000,1,cluster0
657,41,40000,1,cluster4
658,33,46800,1,cluster2
659,38,60000,1,cluster2
660,37,75000,1,cluster2
661,35,26000,1,cluster4
662,25,30000,1,cluster1
663,23,43428,1,cluster0
664,44,80000,1,cluster5
665,30,200000,1,cluster6
666,32,35000,0,cluster4
667,22,36000,1,cluster0
668,25,40000,0,cluster0
669,24,12000,1,cluster1
670,56,50000,1,cluster5
671,26,76000,1,cluster2
672,22,60000,1,cluster0
673,30,20000,1,cluster1
674,30,49500,1,cluster0
675,25,15000,1,cluster1
676,33,60000,1,cluster2
677,39,120000,1,cluster3
678,19,60000,1,cluster0
679,27,35000,1,cluster0
680,35,53000,0,cluster2
681,24,100000,1,cluster3
682,55,48000,1,cluster5
683,45,12000,1,cluster4
684,22,40000,1,cluster0
685,44,20000,1,cluster4
686,42,120000,1,cluster3
687,22,36000,1,cluster0
688,31,60000,0,cluster2
689,41,85000,1,cluster3
690,24,30000,1,cluster1
691,42,12000,1,cluster4
692,27,9000,1,cluster1
693,34,38223,1,cluster4
694,25,42000,0,cluster0
695,22,60000,1,cluster0
696,26,20000,1,cluster1
697,23,52000,1,cluster0
698,31,35000,1,cluster4
699,26,105000,0,cluster3
700,22,25000,1,cluster1
701,19,7000,1,cluster1
702,38,52000,1,cluster4
703,25,28836,1,cluster1
704,29,80000,1,cluster2
705,32,50000,1,cluster2
706,26,60000,0,cluster0
707,30,76100,1,cluster2
708,23,8000,1,cluster1
709,22,32000,1,cluster1
710,28,70000,0,cluster2
711,40,80000,1,cluster2
712,28,22000,0,cluster1
713,29,34000,1,cluster0
714,31,48000,1,cluster0
715,26,29250,1,cluster1
716,33,30000,1,cluster4
717,44,10000,0,cluster4
718,27,22000,0,cluster1
719,28,23300,1,cluster1
720,24,10000,1,cluster1
721,37,12000,1,cluster4
722,23,12000,1,cluster1
723,28,24000,1,cluster1
724,22,10000,1,cluster1
725,28,18000,1,cluster1
726,33,41500,1,cluster4
727,25,30000,1,cluster1
728,30,135000,1,cluster3
729,41,40000,1,cluster4
730,37,45000,1,cluster4
731,34,30000,0,cluster4
732,29,45000,0,cluster0
733,41,80000,1,cluster3
734,25,48380,1,cluster0
735,31,25000,1,cluster4
736,31,45000,0,cluster0
737,41,90000,1,cluster3
738,48,120000,1,cluster3
739,21,10000,1,cluster1
740,38,100000,1,cluster3
741,22,18000,0,cluster1
742,42,34000,1,cluster4
743,22,31686,1,cluster1
744,24,20000,1,cluster1
745,41,40000,0,cluster4
746,25,48000,1,cluster0
747,32,50000,1,cluster2
748,41,15000,1,cluster4
749,27,8400,1,cluster1
750,30,20000,1,cluster1
751,34,46000,1,cluster4
752,23,50000,1,cluster0
753,23,75000,1,cluster2
754,31,55000,1,cluster2
755,39,80000,1,cluster2
756,28,50000,0,cluster0
757,27,8000,1,cluster1
758,34,16000,1,cluster4
759,26,17000,1,cluster1
