Type,Code,Area,All Residents,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85 to 89,Age 90 and Over
England and Wales District,E07000028,Carlisle,107524,6064,5515,5702,6590,6536,6685,6090,6721,7762,8138,7813,6764,7247,5665,4721,3908,2919,1782,902
England and Wales District,E07000029,Copeland,70603,3695,3567,3870,4202,3826,3978,3709,4183,5215,5775,5342,4660,5227,4018,3425,2625,1789,1019,478
England and Wales District,E07000030,Eden,52564,2383,2599,2947,2975,2442,2323,2355,2888,3973,4194,3869,3744,4343,3480,2808,2143,1660,978,460
England and Wales District,E07000031,South Lakeland,103658,4466,4729,5438,5798,4272,4571,4758,5535,7436,7913,7604,7227,8790,7387,5788,4639,3778,2295,1234
England and Wales District,E07000032,Amber Valley,122309,6404,6387,7202,7305,6233,6439,6549,8080,9660,9622,8512,7958,9179,7219,5277,4158,3074,1981,1070
England and Wales District,E07000033,Bolsover,75866,4275,4003,4379,4738,4267,4564,4129,4909,6126,5876,5173,4611,5032,4354,3183,2601,1904,1136,606
England and Wales District,E07000034,Chesterfield,103788,5778,5071,6041,6477,5784,6071,5919,6765,7862,8113,7207,6453,6956,5652,4453,3565,2843,1918,860
England and Wales District,E07000035,Derbyshire Dales,71116,3077,3644,4208,4032,3008,2719,2822,3914,5291,5957,5357,5185,6075,4826,3680,2969,2165,1438,749
England and Wales District,E07000036,Erewash,112081,6527,5935,6188,7028,6714,6407,6480,7395,9001,9057,7498,6644,7211,5954,4703,3947,2757,1714,921
England and Wales District,E07000037,High Peak,90892,4961,4891,5487,5755,5059,4643,4635,5627,7329,7668,6758,5979,6431,4945,3697,2905,2154,1262,706
England and Wales District,E07000038,North East Derbyshire,99023,4799,4909,5370,5956,5020,4764,4730,5907,7425,7628,7230,6712,7655,6567,5112,3893,2814,1674,858
England and Wales District,E07000039,South Derbyshire,94611,5724,5609,6082,5874,4873,5400,5972,6692,7842,7559,6242,5884,6231,4738,3429,2710,2016,1153,581
England and Wales District,E07000040,East Devon,132457,5846,6014,7074,7320,5517,5201,5250,6635,8668,9191,8684,8804,10907,9857,8269,6954,5923,4043,2300
England and Wales District,E07000041,Exeter,117773,6747,5535,5329,9396,14155,9027,8066,7333,7603,7593,6683,5890,6147,4750,3997,3427,3009,2011,1075
England and Wales District,E07000042,Mid Devon,77750,4498,4243,4713,4656,3675,3888,3710,4487,5651,5954,5436,5143,5831,4797,3715,2880,2283,1430,760
England and Wales District,E07000043,North Devon,93667,5014,4801,5286,5575,4821,4565,4641,5122,6429,6886,6429,6051,7239,6155,4782,3867,2989,1911,1104
England and Wales District,E07000044,South Hams,83140,3677,3957,4602,4692,3648,3424,3245,3997,5535,6553,6346,6231,7479,6034,4469,3688,2774,1828,961
England and Wales District,E07000045,Teignbridge,124220,5984,6041,6966,7157,5694,5432,5617,6646,8694,9713,8671,8609,9980,8397,6352,5357,4302,2997,1611
England and Wales District,E07000046,Torridge,63839,3157,3091,3493,3631,3025,2634,2891,3318,4294,4681,4508,4579,5559,4687,3480,2819,2032,1306,654
England and Wales District,E07000047,West Devon,53553,2556,2650,3055,2981,2394,2244,2356,2788,3594,4311,3932,3815,4487,3835,2844,2238,1704,1119,650
England and Wales District,E07000048,Christchurch,47752,2143,2214,2562,2512,2063,1882,2016,2392,3066,3284,2935,2775,3721,3514,3029,2802,2348,1620,874
England and Wales District,E07000049,East Dorset,87166,3737,4092,4702,4801,3632,3013,3201,4249,5705,6481,6083,5796,7355,6300,5509,4811,3866,2526,1307
England and Wales District,E07000050,North Dorset,68583,3647,3571,4204,4509,3402,3197,3387,4037,4685,4993,4627,4379,5146,4238,3471,2745,2195,1389,761
England and Wales District,E07000051,Purbeck,44973,2114,2214,2428,2534,2165,1998,1991,2370,3024,3285,3197,2983,3723,3231,2417,2146,1621,1038,494
England and Wales District,E07000052,West Dorset,99264,4343,4515,5579,5871,4300,3607,3876,4932,6400,7371,6898,6951,8343,7328,5773,5069,3958,2620,1530
England and Wales District,E07000053,Weymouth and Portland,65167,3349,3237,3548,3895,3888,3394,3363,3669,4561,4848,4589,4295,4916,4056,3124,2541,1990,1242,662
England and Wales District,E07000061,Eastbourne,99412,5327,4867,5380,6251,6093,6063,5712,5924,6559,6742,6008,5544,6639,5350,4735,4223,3797,2586,1612
