Latitude, Aircraft.Damage, Longitude
42.936666, 2, -4
41.060278, 2, -5
30.061944, 2, -4
62.719167, 2, -7
39.476667, 1, -4
44.578334, 2, -3
25.799722, 2, -4
20.780278, 2, -7
33.563889, 3, -4
39.454444, 2, -3
37.914444, 2, -4
41.907778, 3, -4
32.815556, 2, -5
47.205278, 3, 0
48.171667, 2, -5
-1.488611, 2, -2
41.067223, 2, -3
38.583333, 2, -6
42.907778, 2, -5
40.524445, 2, -5
35.298889, 3, -5
59.965833, 2, -8
35.436111, 1, -4
33.901111, 2, -4
45.955, 2, -4
-23.181111, 2, -2
30.840555, 2, -4
46.882778, 2, -6
36.333333, 2, -4
48.576389, 2, -5
46.158056, 2, -6
36.906111, 2, -4
40.785833, 2, -3
41.935555, 2, -4
45.602222, 2, -6
39.668056, 2, -5
33.658056, 1, -5
29.355556, 2, -4
39.666667, 2, -5
34.279167, 3, -3
46.154444, 2, -4
35.663333, 2, -4
42.209167, 2, -4
41.846944, 2, -5
34.518611, 2, -5
36.034722, 2, -5
38.470278, 3, -3
45.550833, 3, -5
34.686389, 2, -4
40.121667, 2, -3
42.273889, 2, -4
30.384444, 2, -4
44.216389, 3, -4
28.776667, 2, -4
24.696944, 2, -4
46.871667, 2, -6
42.690555, 2, -4
41.168056, 2, -3
38.805833, 2, -5
32.931111, 2, -4
43.216389, 2, -5
61.588611, 2, -7
32.821945, 2, -5
39.018056, 3, -6
26.152222, 2, -4
59.9675, 2, -7
65.073889, 2, -8
28.062778, 2, -4
39.818611, 3, -6
5.782223, 2, -5
39.667223, 2, -5
47.484722, 2, -4
52.095833, 2, 0
33.833333, 2, -4
29.360278, 2, -4
35.265833, 2, -5
-7.030834, 3, 5
33.537222, 2, -5
28.8, 2, -4
43.114167, 2, -4
42.515833, 2, -3
30.336389, 2, -4
45.7775, 2, -5
34.213889, 2, -5
37.989722, 2, -6
48.133333, 2, -6
39.976389, 2, -5
32.366667, 2, -4
27.986389, 3, -4
59.933056, 2, -7
59.317778, 3, -7
37.953889, 1, -5
33.063889, 2, -5
38.779167, 2, -4
41.602778, 2, -4
48.177778, 2, -5
25.403611, 2, -3
48.483333, 2, -6
10.512222, 3, -3
36.85, 2, -6
38.083333, 2, -5
33.666667, 2, -5
61.5, 3, -7
45.81, 2, -6
61.402778, 2, -7
38.835833, 2, -4
25.763611, 3, -3
25.848889, 2, -4
38.311667, 2, -4
20.866667, 2, -7
45.177223, 2, -3
